zip,assoc_code,address
91303,B0480,"6644 GLADE AVE, Canoga Park, CA 91303"
91367,R3924,"6200 VARIEL AVE, Woodland Hills, CA 91367"
91367,E6086,"22035 BURBANK BLVD, Woodland Hills, CA 91367"
91505,R1JS,"3601 W VERDUGO AVE, Burbank, CA 91505"
91303,R3887,"6606 VARIEL AVE, Canoga Park, CA 91303"
91367,R3874,"6301 DE SOTO AVE, Woodland Hills, CA 91367"
91303,E0220,"6701 DE SOTO AVE, Canoga Park, CA 91303"
91203,RQ3X,"321 N ORANGE ST, Glendale, CA 91203"
91367,D7JT8EJ2,"5807 TOPANGA CANYON BLVD, Woodland Hills, CA 91367"
91311,R0681,"9931 LURLINE AVE, Chatsworth, CA 91311"
91303,R3010,"21201 KITTRIDGE ST, Canoga Park, CA 91303"
91367,R3766,"21221 OXNARD ST, Woodland Hills, CA 91367"
91367,R0290,"22246 VICTORY BLVD, Woodland Hills, CA 91367"
91367,R2947,"6200 DE SOTO AVE, Woodland Hills, CA 91367"
91367,R0761,"6187 FLEURY LN, Woodland Hills, CA 91367"
