zip,assoc_code,address,url,platform_guess,http_status,notes
91303,B0480,"6644 GLADE AVE, Canoga Park, CA 91303",https://www.gladeapartments.com/,,403,"Website via Places (Glade Apartments) | query=""6644 GLADE AVE, Canoga Park, CA 91303 apartments"""
91367,R3924,"6200 VARIEL AVE, Woodland Hills, CA 91367",https://www.theqvariel.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,,403,"Website via Places (The Q Variel Apartments) | query=""6200 VARIEL AVE, Woodland Hills, CA 91367 apartments"""
91367,E6086,"22035 BURBANK BLVD, Woodland Hills, CA 91367",,,,No websiteUri found via Places fallback queries | No website URL
91505,R1JS,"3601 W VERDUGO AVE, Burbank, CA 91505",https://www.avaloncommunities.com/california/burbank-apartments/ava-burbank?utm_source=gmb&utm_medium=organic&utm_campaign=gmblist,,200,"Website via Places (AVA Burbank) | query=""3601 W VERDUGO AVE, Burbank, CA 91505 apartments"""
91303,R3887,"6606 VARIEL AVE, Canoga Park, CA 91303",https://liveatvert.com/?ilm=obl&utm_source=gmb&utm_medium=organic,RealPage/OneSite,200,"Website via Places (Vert) | query=""6606 VARIEL AVE, Canoga Park, CA 91303 apartments"""
91367,R3874,"6301 DE SOTO AVE, Woodland Hills, CA 91367",https://carillon.mgproperties.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,,403,"Website via Places (Carillon Apartment Homes) | query=""6301 DE SOTO AVE, Woodland Hills, CA 91367 apartments"""
91303,E0220,"6701 DE SOTO AVE, Canoga Park, CA 91303",http://www.americanawarnercenter.com/,,403,"Website via Places (Americana Warner Center Apartments) | query=""6701 DE SOTO AVE, Canoga Park, CA 91303 apartments"""
91203,RQ3X,"321 N ORANGE ST, Glendale, CA 91203",https://www.amli.com/apartments/southern-california/glendale-apartments/amli-lex-on-orange?switch_code=58696&utm_source=gmb&utm_medium=organic&utm_campaign=LexOrange,SightMap,200,"Website via Places (AMLI Lex On Orange) | query=""321 N ORANGE ST, Glendale, CA 91203 apartments"""
91367,D7JT8EJ2,"5807 TOPANGA CANYON BLVD, Woodland Hills, CA 91367",https://www.thevillasatwoodlandhills.com/?utm_source=gbp,,200,"Website via Places (The Villas at Woodland Hills) | query=""5807 TOPANGA CANYON BLVD, Woodland Hills, CA 91367 apartments"""
91311,R0681,"9931 LURLINE AVE, Chatsworth, CA 91311",https://www.waterstoneapartmenthomes.com/?utm_source=apartmentseo&utm_medium=googlebusinessprofile&utm_campaign=organicmaplisting,,200,"Website via Places (Waterstone) | query=""9931 LURLINE AVE, Chatsworth, CA 91311 apartments"""
91303,R3010,"21201 KITTRIDGE ST, Canoga Park, CA 91303",https://www.essexapartmenthomes.com/apartments/woodland-hills/reveal?sc_camp=2648D1300BEC431BB11EB86F02F52DBD&utm_source=googlesearch,RentCafe/SecureCafe,200,"Website via Places (Reveal Apartments) | query=""21201 KITTRIDGE ST, Canoga Park, CA 91303 apartments"""
91367,R3766,"21221 OXNARD ST, Woodland Hills, CA 91367",https://www.essexapartmenthomes.com/apartments/woodland-hills/vela-on-ox?sc_camp=2648D1300BEC431BB11EB86F02F52DBD&utm_source=googlesearch,RentCafe/SecureCafe,200,"Website via Places (Vela on Ox Apartments) | query=""21221 OXNARD ST, Woodland Hills, CA 91367 apartments"""
91367,R0290,"22246 VICTORY BLVD, Woodland Hills, CA 91367",https://www.avaloncommunities.com/california/woodland-hills-apartments/eaves-woodland-hills?utm_source=gmb&utm_medium=organic&utm_campaign=gmblist,SightMap,200,"Website via Places (eaves Woodland Hills) | query=""22246 VICTORY BLVD, Woodland Hills, CA 91367 apartments"""
91367,R2947,"6200 DE SOTO AVE, Woodland Hills, CA 91367",https://www.theqdesoto.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,,403,"Website via Places (The Q De Soto Apartments) | query=""6200 DE SOTO AVE, Woodland Hills, CA 91367 apartments"""
91367,R0761,"6187 FLEURY LN, Woodland Hills, CA 91367",https://www.thereserveatwarnercenter.com/?utm_source=apartmentseo&utm_medium=gmb&utm_campaign=organicmaplisting,,403,"Website via Places (The Reserve At Warner Center Apartments) | query=""6187 FLEURY LN, Woodland Hills, CA 91367 apartments"""
